COVIDSeq_Seq_ID,Sample_ID,Date,Site,BQ.1.1,XBB.1.5,BQ.1,XBB,BA.5,BN.1,BF.7,BA.2.75,BA.5.2.6,BF.11,BA.4.6,BA.2,BA.2.75.2,BA.4,BA.1.1,B.1.1.529,BA.2.12.1,Delta,Other_recombinants,Other,Filtered_reads
I99416,AWMP1,230130,ASUP01,0.032097198,0.723412984,0.190516496,0.817222714,0.449949449,0.1941984,0.107874344,0.535152609,0.123884352,0.452597497,0.589454919,0.118116161,0.029374944,0.819911145,0.904223071,0.822155153,0.537541352,0.883726785,0.44243047,0.37407415,0.373076871
I99417,AWMP2,230130,ASUP02,0.042619957,0.090667218,0.660017983,0.507597332,0.888010188,0.408202708,0.108984482,0.983491335,0.567949535,0.886740685,0.178330926,0.1741183,0.967295395,0.854210197,0.377100471,0.653123589,0.435674271,0.375583085,0.102377354,0.212736042,0.836902302
I99418,AWMP3,230130,ASUP03,0.069328957,0.066734479,0.970529874,0.406394128,0.401420301,0.709025699,0.055160929,0.534107243,0.218313755,0.574052831,0.493716148,0.918295919,0.365724421,0.218867199,0.766801795,0.851480621,0.987958684,0.630306335,0.005217581,0.506901981,0.370667824
I99419,AWMP4,230130,ASUP04,0.552264205,0.863191688,0.192926186,0.500606289,0.2463937,0.941999832,0.730052979,0.386867911,0.508328771,0.764974421,0.681583072,0.618815633,0.292853941,0.84210189,0.872110996,0.621921761,0.222879195,0.459010011,0.687209768,0.236551861,0.025071508
I99420,AWMP5,230130,ASUP05,0.200375236,0.659113474,0.06810683,0.10682581,0.14399445,0.204138734,0.80324725,0.774226196,0.970288797,0.428768742,0.845818182,0.350767611,0.195951453,0.768471741,0.554476834,0.645983848,0.000955302,0.302952536,0.944134147,0.770801748,0.674266324
I99421,AWMP6,230130,ASUP06,0.873555828,0.170958796,0.864492981,0.513019074,0.99988165,0.50765793,0.935898026,0.609190157,0.805328004,0.839544184,0.111781963,0.457396001,0.482785294,0.412920967,0.681376704,0.042124597,0.708179508,0.163300887,0.233953734,0.791029198,0.427734035
I98887,AWMT404,230130,ASUT17,0.484474,0.922133138,0.583339498,0.459090475,0.448832199,0.874142057,0.083633824,0.305126099,0.782889003,0.498901579,0.994570304,0.806376515,0.18894982,0.11785343,0.796209679,0.347041467,0.17426267,0.605499921,0.10462817,0.71173233,0.775548184
I99425,AWMP10,230206,ASUP04,0.362314044,0.191757031,0.867931783,0.173034063,0.0901429,0.220775489,0.032316281,0.415950428,0.526892949,0.653724528,0.641394457,0.305777127,0.58507902,0.912445517,0.409856886,0.91467146,0.388595162,0.481409781,0.552455012,0.173335228,0.343357301
I99426,AWMP11,230206,ASUP05,0.744418334,0.022726337,0.51454864,0.995310701,0.184905941,0.711617093,0.054869715,0.061763701,0.411631807,0.891470682,0.204823812,0.992950723,0.892188174,0.086173357,0.5794224,0.010161146,0.59213423,0.681700538,0.421670912,0.89199273,0.902897421
I99427,AWMP12,230206,ASUP06,0.971693753,0.934569684,0.081657769,0.679582709,0.86002931,0.925793751,0.655320916,0.927614403,0.193739001,0.872960192,0.414081787,0.882975004,0.841484606,0.741059163,0.193597741,0.359389957,0.364112542,0.311449693,0.306050818,0.862259699,0.082935493
I99428,AWMP13,230206,ASUP07,0.745916898,0.151933592,0.779959367,0.325325744,0.002651141,0.157900381,0.162207732,0.493300487,0.650646983,0.689129991,0.931417874,0.527183642,0.683375428,0.391032698,0.268072087,0.87040151,0.793406144,0.876832218,0.259288851,0.96896829,0.904783451
