Respiratory_Seq_ID,External_ID,Date,Site,Adenovirus,Bocavirus,Coronavirus,Enterovirus,Metapneumovirus,Parainfluenza,Parechovirus,RSV,Rhinovirus,Rubulavirus,Influenza,Polyomavirus,SARS-CoV-2
I99843,AWMW17(2),230308,ASUW05,0.957869567,0.450347879,0.836750856,0.898055814,0.092021943,0.891158452,0.153954344,0.326297611,0.590807732,0.930492011,0.046663386,0.560004739,0.858947774
I100133,AWMW22(2),230315,ASUW05,0.757121044,0.723890801,0.492114457,0.259430545,0.632245703,0.213916474,0.247281166,0.114547354,0.430601456,0.496612014,0.771238693,0.152645365,0.810886039
I100295,AWMW27(2),230322,ASUW05,0.032476242,0.388275841,0.277071131,0.172461674,0.49742647,0.95248392,0.920221742,0.694247757,0.08098224,0.477090341,0.905299854,0.50887942,0.662240338
I99842,AWMW16(2),230308,ASUW04,0.208837649,0.430115225,0.565953754,0.591193823,0.556903918,0.112996168,0.332290232,0.757042957,0.255602252,0.486626981,0.238874792,0.327546964,0.616484094
I100132,AWMW21(2),230315,ASUW04,0.698340785,0.047929379,0.650693952,0.533790518,0.260563279,0.27353563,0.612673818,0.012965987,0.833298239,0.171895517,0.758834299,0.125114317,0.871407732
I100294,AWMW26(2),230322,ASUW04,0.650894846,0.293208506,0.942632304,0.888833507,0.78922659,0.215909325,0.412789149,0.63739844,0.250328511,0.079525856,0.068995852,0.293105388,0.361471507
I100299,AWMW31(2),230329,ASUW04,0.178085617,0.847941703,0.131734922,0.291114004,0.410803218,0.30672698,0.228561699,0.732316465,0.277338179,0.862907674,0.604357487,0.962139461,0.150963127
I98728,AWMW3(2),230209,ASUW03,0.07839448,0.497329019,0.742481123,0.599907587,0.23463742,0.353258318,0.920043701,0.485812416,0.897321898,0.731322456,0.507517796,0.30333408,0.929643677
I99832,AWMW6(2),230216,ASUW03,0.825334244,0.760626377,0.974667502,0.757220855,0.384707285,0.430501596,0.054505899,0.718970178,0.410199806,0.289670372,0.78206614,0.719824831,0.568454057
I99835,AWMW9(2),230222,ASUW03,0.39621689,0.173209363,0.342887912,0.432284146,0.606782548,0.053709205,0.451957907,0.809569964,0.82720248,0.538495046,0.239294214,0.888219069,0.728962478
I99838,AWMW12(2),230301,ASUW03,0.697519668,0.429894877,0.743210198,0.67462051,0.621242419,0.258430802,0.123172628,0.899649872,0.927737401,0.474773872,0.575057857,0.530008601,0.811235781
I99841,AWMW15(2),230308,ASUW03,0.710945977,0.815844408,0.239610503,0.15717825,0.577251689,0.692293346,0.057021237,0.12372991,0.912860658,0.452212955,0.426953372,0.863645853,0.385844871
I100131,AWMW20(2),230315,ASUW03,0.853778981,0.979063685,0.898780052,0.388537705,0.564995072,0.395013125,0.828202296,0.270821498,0.702657976,0.644325252,0.396614212,0.195814958,0.346799785
I100293,AWMW25(2),230322,ASUW03,0.679692175,0.150868311,0.700225629,0.04666803,0.809354157,0.132439131,0.50000164,0.476987167,0.068584898,0.44635063,0.583122644,0.997013807,0.660682326
I100298,AWMW30(2),230329,ASUW03,0.267189566,0.739314815,0.746332606,0.446100827,0.732283721,0.859540541,0.324805387,0.676099815,0.772902607,0.729194011,0.426097521,0.466523292,0.320319082
I98727,AWMW2(2),230209,ASUW02,0.366538197,0.173934983,0.813139391,0.436907045,0.194602334,0.819216922,0.831781586,0.274590961,0.04143177,0.752006224,0.269712329,0.560018161,0.005092901
I99831,AWMW5(2),230216,ASUW02,0.876556912,0.309932751,0.890426648,0.016726924,0.848302678,0.492933347,0.712841343,0.418173305,0.215585972,0.802623234,0.483206654,0.940221692,0.075772608
I99834,AWMW8(2),230222,ASUW02,0.847055353,0.552877397,0.552493282,0.993784492,0.03080899,0.653193884,0.444726643,0.053889807,0.550753482,0.1020619,0.426910745,0.507382844,0.210524862
I99837,AWMW11(2),230301,ASUW02,0.130940183,0.211656298,0.900533919,0.961955214,0.8378727,0.121092983,0.295090636,0.010616871,0.779956006,0.866287462,0.636365664,0.869354504,0.671078942
I99840,AWMW14(2),230308,ASUW02,0.108201611,0.792082188,0.057230515,0.121952626,0.386174059,0.698965597,0.568021245,0.604988646,0.911152647,0.105909729,0.533489233,0.047512161,0.979089231
I100130,AWMW19(2),230315,ASUW02,0.480458276,0.046732907,0.6651775,0.193853738,0.895574092,0.697106076,0.69991317,0.505101806,0.962526135,0.287109241,0.759540301,0.054457533,0.044840203
I100292,AWMW24(2),230322,ASUW02,0.12399091,0.748286243,0.675471617,0.253607989,0.989746136,0.414275311,0.91143723,0.57996603,0.689438896,0.035510925,0.235474537,0.464788709,0.862794773
I100297,AWMW29(2),230329,ASUW02,0.817684884,0.528884555,0.673051539,0.978388451,0.558469826,0.184837747,0.939337831,0.996067435,0.593091465,0.771606319,0.630623382,0.668403001,0.397326044
I98726,AWMW1(2),230209,ASUW01,0.556680555,0.978815109,0.019345729,0.49314999,0.293894791,0.873676421,0.041189941,0.625939115,0.527048261,0.81696002,0.600385398,0.312414313,0.639674362
I98729,AWMW4(2),230216,ASUW01,0.010688959,0.373589093,0.380952338,0.54584076,0.059343723,0.779679679,0.806183373,0.651619227,0.980353125,0.189898647,0.868403219,0.243296271,0.836747138
I99833,AWMW7(2),230222,ASUW01,0.116970816,0.467786496,0.591562272,0.981119028,0.917096517,0.822641977,0.756052395,0.936769369,0.14596071,0.305397696,0.640609125,0.781495842,0.713203137
I99836,AWMW10(2),230301,ASUW01,0.360882642,0.300631331,0.797240548,0.977985526,0.175062616,0.609638847,0.974271577,0.035534881,0.529840951,0.501638658,0.312718118,0.73643715,0.708233457
I99839,AWMW13(2),230308,ASUW01,0.166626869,0.291365941,0.626688574,0.437769744,0.372120817,0.607275493,0.935462829,0.300818047,0.568474753,0.384032017,0.376963797,0.325282249,0.63782568
I100129,AWMW18(2),230315,ASUW01,0.522083665,0.74339709,0.189805624,0.063379545,0.728238947,0.55597233,0.152606323,0.842965415,0.148823942,0.053640394,0.432998579,0.79061581,0.851606211
I100291,AWMW23(2),230322,ASUW01,0.864185921,0.011604298,0.572456469,0.230416993,0.058790762,0.709520263,0.585300458,0.23886975,0.113604505,0.75722389,0.735701828,0.474224978,0.079365608
I100296,AWMW28(2),230329,ASUW01,0.927742978,0.676534536,0.49600581,0.285437103,0.909846366,0.876202087,0.552732036,0.035985152,0.742665427,0.528295032,0.917148516,0.551037578,0.538011944
I100261,AWMT528(2),230327,ASUT09,0.306556318,0.196717771,0.379050457,0.502598722,0.216000606,0.718536506,0.598685402,0.089137601,0.79904248,0.357395209,0.694731911,0.901551512,0.235519109
I100281,AWMT548(2),230403,ASUT09,0.939558178,0.042094299,0.888845449,0.538797581,0.42052915,0.804136723,0.991023003,0.961999737,0.061685274,0.815467493,0.847228335,0.963684941,0.094079326
I100260,AWMT527(2),230327,ASUT08,0.421005523,0.380983935,0.351722545,0.197221465,0.981188139,0.50758373,0.329114785,0.632212516,0.162842817,0.404082803,0.733841278,0.981730684,0.968417393
I100280,AWMT547(2),230403,ASUT08,0.053937504,0.381558814,0.32785996,0.021888799,0.477419924,0.329715884,0.972229513,0.413898277,0.41107094,0.511202921,0.605987233,0.508346689,0.641527132
I100259,AWMT526(2),230327,ASUT07,0.331634255,0.268406634,0.934517237,0.93776919,0.971506935,0.430946409,0.93325441,0.288679225,0.382820587,0.745904951,0.481946712,0.375448259,0.317415833
I100279,AWMT546(2),230403,ASUT07,0.018574799,0.006889015,0.958955411,0.486334432,0.763085636,0.05699894,0.747776407,0.590914635,0.888276812,0.423207123,0.689915103,0.182325285,0.841568864
I100255,AWMT522(2),230327,ASUT06,0.908950854,0.289569774,0.447962543,0.056814159,0.679853958,0.028518374,0.278055633,0.187383654,0.607383892,0.411394755,0.118792762,0.125237252,0.049842821
I100275,AWMT542(2),230403,ASUT06,0.045758149,0.419292152,0.514394786,0.090767378,0.662864829,0.097611016,0.507670212,0.300236196,0.655198981,0.234006064,0.248546455,0.928492747,0.768702318
I100254,AWMT521(2),230327,ASUT05,0.845953185,0.051332234,0.459884142,0.387736654,0.58509087,0.565476233,0.755917774,0.449568138,0.828165683,0.534121874,0.479871342,0.33981848,0.419868551
I100274,AWMT541(2),230403,ASUT05,0.054520607,0.007928774,0.936974596,0.455144935,0.287608693,0.969859066,0.325078081,0.434319152,0.090705149,0.343078708,0.641963988,0.343906262,0.127538866
I100257,AWMT524(2),230327,ASUT04,0.880071829,0.374316993,0.690055985,0.716974806,0.734276665,0.769699247,0.556734232,0.309566623,0.622913475,0.452637018,0.821215163,0.519497661,0.712809771
I100277,AWMT544(2),230403,ASUT04,0.704973046,0.015042187,0.943092378,0.345968201,0.236354267,0.1381815,0.78943815,0.97474942,0.597366263,0.651105302,0.281689137,0.210469999,0.713957779
I100258,AWMT525(2),230327,ASUT03,0.647753468,0.403152663,0.544512638,0.856675612,0.601375749,0.057715794,0.618817048,0.228321866,0.720453947,0.70303607,0.169419924,0.320305295,0.965534949
I100278,AWMT545(2),230403,ASUT03,0.538120734,0.743389276,0.875639125,0.697029478,0.006098314,0.372226652,0.463655354,0.265623563,0.977432907,0.9170164,0.864549064,0.608387249,0.596193212
I100117,AWMT517(2),230320,ASUT21,0.765854185,0.736448355,0.449659922,0.177153958,0.718033462,0.720883347,0.596455102,0.060930475,0.939375931,0.580002005,0.516794537,0.759893504,0.982001356
I100270,AWMT537(2),230327,ASUT21,0.698659544,0.20846436,0.16495955,0.088748826,0.294821814,0.570803118,0.688483381,0.926987754,0.32632444,0.342651664,0.742536903,0.852561892,0.599951987
I100289,AWMT556(2),230403,ASUT21,0.079274223,0.471195505,0.955990553,0.751233196,0.472254468,0.811132279,0.178577031,0.560541562,0.14332136,0.670364677,0.770577687,0.34351233,0.141961439
I100114,AWMT514(2),230320,ASUT20,0.638149998,0.326289804,0.651858317,0.409883594,0.406334285,0.318705722,0.537503099,0.980529662,0.605108298,0.341968352,0.780504344,0.681680595,0.03731757
I100286,AWMT553(2),230403,ASUT20,0.985145528,0.555089488,0.061936078,0.870533938,0.111868878,0.441021448,0.479906631,0.861644125,0.757645704,0.296599404,0.960946434,0.832178187,0.384335151
I100256,AWMT523(2),230327,ASUT02,0.552330973,0.395864196,0.011506238,0.382481591,0.701789394,0.642980407,0.509978548,0.558361249,0.106214075,0.935872382,0.076063904,0.877450954,0.222874693
I100276,AWMT543(2),230403,ASUT02,0.879626933,0.436459663,0.935116008,0.508354817,0.015767686,0.05271416,0.002379049,0.610126417,0.98732601,0.658546729,0.220064296,0.117598901,0.869027748
I100110,AWMT510(2),230320,ASUT19,0.558029386,0.71760082,0.649253524,0.457821635,0.78945999,0.376372362,0.215493096,0.779058614,0.443152716,0.405634301,0.452904016,0.693470613,0.522557979
I100263,AWMT530(2),230327,ASUT19,0.898710328,0.537219936,0.799427167,0.596870645,0.02540974,0.758258071,0.644345326,0.142581984,0.627200197,0.901683305,0.300976726,0.9974717,0.619522856
I100099,AWMT499(2),230320,ASUT18,0.139207993,0.070765227,0.934508712,0.313552194,0.46579621,0.465384567,0.859932163,0.376796847,0.224415452,0.05226628,0.293761682,0.521445175,0.704763966
I100252,AWMT519(2),230327,ASUT18,0.038208248,0.567330549,0.26187937,0.045741608,0.775554224,0.150913478,0.927798467,0.310280976,0.618275776,0.596310652,0.084224065,0.749041698,0.763641027
I100272,AWMT539(2),230403,ASUT18,0.575824608,0.037926724,0.28860601,0.415400732,0.92255994,0.723124384,0.170090947,0.561845041,0.62408811,0.730866074,0.119723164,0.853864192,0.855678774
I89575,AWMT30(2),220816,ASUT17,0.439036776,0.488681641,0.857627378,0.46906065,0.179847566,0.674821214,0.69443653,0.752179493,0.501097128,0.540649832,0.520248955,0.878169098,0.688084692
I89591,AWMT46(2),220822,ASUT17,0.089442904,0.051734699,0.703630298,0.204369859,0.858107467,0.161559796,0.537825675,0.676815078,0.822234005,0.812257054,0.708511028,0.726418952,0.291923086
I90683,AWMT62(2),220829,ASUT17,0.025589072,0.629316124,0.382089749,0.662114663,0.744069694,0.827031095,0.981567314,0.296711223,0.362815473,0.902780227,0.736940385,0.950219668,0.638324964
I91682,AWMT77(2),220906,ASUT17,0.99109775,0.440029215,0.061122513,0.910898029,0.383273299,0.728979558,0.468076906,0.907562019,0.295688941,0.287437606,0.555415209,0.640607867,0.78803052
I91697,AWMT92(2),220912,ASUT17,0.721713914,0.672798306,0.227779927,0.56544878,0.445959254,0.584618964,0.131513499,0.261601767,0.459941918,0.174812786,0.470785792,0.942512595,0.631328602
I91713,AWMT108(2),220919,ASUT17,0.245480646,0.962747851,0.166790483,0.977095017,0.847544621,0.272711414,0.144925501,0.556272421,0.666265455,0.081409978,0.767770403,0.494768865,0.073894286
I92515,AWMT139(2),221003,ASUT17,0.67454967,0.001413459,0.204706662,0.987375825,0.569983464,0.514958475,0.980677608,0.564713058,0.113197345,0.863284329,0.847610882,0.612092563,0.411179189
I93390,AWMT123(2),220926,ASUT17,0.080013495,0.236838374,0.872583894,0.24023236,0.895191428,0.386656289,0.882189068,0.367517774,0.109894996,0.603295778,0.201406683,0.58589046,0.112064658
I93406,AWMT155(2),221010,ASUT17,0.29622688,0.961785478,0.646764864,0.953317588,0.655295962,0.500172215,0.709411497,0.372348423,0.819340222,0.534474463,0.889538662,0.166334146,0.67192548
I93422,AWMT171(2),221017,ASUT17,0.103833787,0.684442718,0.94412052,0.63249749,0.069711278,0.923066462,0.792737559,0.33993092,0.30408605,0.548365722,0.237024534,0.895405094,0.482310099
I93726,AWMT187(2),221024,ASUT17,0.911495359,0.950011606,0.917652764,0.00434484,0.732115212,0.055479893,0.771829869,0.143074137,0.358901975,0.522106649,0.576886139,0.810347537,0.044117431
I94990,AWMT203(2),221031,ASUT17,0.959602339,0.968973976,0.077490417,0.684518459,0.931202557,0.462034593,0.157551528,0.583918295,0.732077475,0.656644468,0.477511142,0.141773967,0.014020199
I95391,AWMT219(2),221107,ASUT17,0.048926655,0.869130154,0.147182271,0.786149753,0.475739373,0.543028294,0.808379926,0.851947146,0.400285506,0.571826316,0.475103834,0.728592843,0.017303421
I95407,AWMT235(2),221114,ASUT17,0.761544041,0.712933069,0.313537662,0.820088536,0.667205485,0.831963381,0.285093021,0.236899993,0.435250093,0.221993912,0.646391504,0.080624195,0.761965213
I95422,AWMT250(2),221121,ASUT17,0.846753663,0.443134096,0.996340454,0.122653903,0.608228449,0.82526125,0.375263242,0.708312505,0.337003509,0.501634973,0.51392467,0.698642573,0.270298715
I97058,AWMT266(2),221129,ASUT17,0.778256711,0.656268535,0.554731582,0.213583059,0.36728384,0.020065745,0.368097508,0.114101191,0.058812033,0.097566356,0.284288915,0.365216108,0.63751253
I97073,AWMT281(2),221205,ASUT17,0.533075219,0.096333557,0.901866859,0.164730289,0.147364761,0.287615882,0.059266132,0.58535872,0.514610463,0.400337875,0.93084561,0.05878539,0.817312205
I97088,AWMT296(2),221212,ASUT17,0.8704381,0.848732599,0.76169649,0.378129939,0.471667028,0.296845097,0.507373642,0.397510703,0.696546934,0.470197077,0.666802431,0.667787698,0.054720076
I97555,AWMT312(2),221219,ASUT17,0.660460735,0.199027976,0.9055175,0.285480217,0.000667742,0.007788437,0.252932196,0.20668426,0.014595163,0.366667203,0.658215314,0.381162201,0.340802279
I97569,AWMT326(2),221228,ASUT17,0.441032022,0.307939216,0.276405817,0.417048653,0.308417981,0.547494766,0.083597208,0.975854133,0.769981926,0.657632926,0.222520713,0.821136136,0.511217581
I97585,AWMT342(2),230103,ASUT17,0.234341787,0.303818603,0.174092956,0.274723039,0.672502027,0.787029393,0.595869446,0.57981735,0.087879161,0.797439256,0.781733295,0.261879414,0.648489511
I98082,AWMT357(2),230109,ASUT17,0.315678383,0.35756034,0.370987658,0.04913256,0.878604892,0.674636467,0.062241105,0.849622326,0.989305752,0.217695935,0.42712085,0.589557719,0.095596941
I98113,AWMT388(2),230123,ASUT17,0.234262079,0.63334612,0.4248283,0.280942855,0.895822103,0.808797244,0.006090736,0.608087866,0.093397025,0.663980472,0.756643486,0.941943006,0.470114547
I98705,AWMT451(2),230220,ASUT17,0.48943451,0.414609948,0.070196533,0.83776385,0.6551809,0.672565047,0.375031508,0.094300665,0.23671671,0.441169224,0.153256229,0.030598899,0.135277655
I99138,AWMT404(2),230130,ASUT17,0.996983633,0.288457436,0.27648656,0.624550992,0.629906263,0.697029309,0.941548592,0.081668639,0.870998629,0.26014884,0.210267342,0.099931718,0.064334582
I99153,AWMT419(2),230206,ASUT17,0.414174779,0.487024382,0.651442521,0.41126178,0.057233122,0.822589568,0.01057091,0.898958942,0.958422051,0.098583473,0.059446056,0.044615157,0.891846838
I99169,AWMT435(2),230213,ASUT17,0.33747681,0.759189184,0.614897106,0.137368895,0.625870576,0.819372315,0.095995291,0.201102939,0.967362238,0.829520784,0.847053218,0.673576961,0.156738
I99799,AWMT467(2),230227,ASUT17,0.68504089,0.442670645,0.710669354,0.159733025,0.417983505,0.521923743,0.365535178,0.172691601,0.107862673,0.177137519,0.144675196,0.249850801,0.001648037
I99814,AWMT482(2),230306,ASUT17,0.197915542,0.0438733,0.642614121,0.349248347,0.385267481,0.347681635,0.399216999,0.977665457,0.544427612,0.851915307,0.033033336,0.645673049,0.232783572
I99830,AWMT498(2),230313,ASUT17,0.660641502,0.595870649,0.269707955,0.032738295,0.425201734,0.128886829,0.337835419,0.812123564,0.954363837,0.986242815,0.644689097,0.579873218,0.631008013
I100118,AWMT518(2),230320,ASUT17,0.938586943,0.69159049,0.094809118,0.155621517,0.318320389,0.911582868,0.097524461,0.710509979,0.644137868,0.725988488,0.973781419,0.913515555,0.499765367
I100271,AWMT538(2),230327,ASUT17,0.468692878,0.573394835,0.051500149,0.529240341,0.224780139,0.298085135,0.169911888,0.178400071,0.687346237,0.778822249,0.959679886,0.132781537,0.390862375
I100290,AWMT557(2),230403,ASUT17,0.670969756,0.979034716,0.497107745,0.916953658,0.896257934,0.045549038,0.016076862,0.244787021,0.298217775,0.839882376,0.499258992,0.124065264,0.863885303
I62261,AWW125(2),220411,ASUT16,0.504451606,0.777447889,0.926158415,0.870065776,0.583356852,0.665172029,0.870121865,0.879742983,0.550034815,0.251327048,0.198443865,0.5360138,0.0433673
I64196,AWW139(2),220418,ASUT16,0.975431163,0.398416559,0.800917834,0.080073355,0.452964959,0.639932818,0.845334342,0.145108808,0.518631114,0.368291475,0.661463515,0.335267963,0.029374842
I66323,AWW153(2),220425,ASUT16,0.546086841,0.196466993,0.722817924,0.470556005,0.101952694,0.598592715,0.010320753,0.298736208,0.224844172,0.01683238,0.510867562,0.412314184,0.669228638
