Respiratory Seq ID	ABCTL CovSeq Code	Date	Location Code	QC	run	notes
I47876	AWW5(2)	220126	ASU1	7942567	137	
I47877	AWW6(2)	220126	ASU2	7024108	137	
I57540	AWW16(2)	220210	ASU4	2921270	165	
I57541	AWW17(2)	220210	ASU3	3080268	165	
I57542	AWW18(2)	220216	ASU1	1828841	165	
I57543	AWW19(2)	220216	ASU2	4325269	165	
I57544	AWW20(2)	220216	ASU3	4312168	165	
I57545	AWW21(2)	220216	ASU4	3082386	165	
I57546	AWW22(2)	220216	ASU5	3767180	165	
I57547	AWW23(2)	220216	ASU6	3055381	165	
I57548	AWW24(2)	220216	ASU7	7213112	165	
I57549	AWW25(2)	220216	ASU8	1094526	165	
I57550	AWW26(2)	220216	ASU9	2999399	165	
I57551	AWW27(2)	220222	ASU1	9513013	165	
I57552	AWW28(2)	220222	ASU5	5104127	165	
I57553	AWW29(2)	220222	ASU6	2444375	165	
I57554	AWW30(2)	220222	ASU2	9541067	165	
I57555	AWW31(2)	220222	ASU4	4652235	165	
I57556	AWW32(2)	220222	ASU3	9946954	165	
I57557	AWW33(2)	220222	ASU7	7035070	165	
I57558	AWW34(2)	220222	ASU8	3765631	165	
I57559	AWW35(2)	220222	ASU9	2908948	165	
I57560	AWW36(2)	220222	ASU10	5346860	165	
I57561	AWW37(2)	220302	ASU1	1444914	165	
I57562	AWW38(2)	220302	ASU5	958895	165	
I57563	AWW39(2)	220302	ASU6	5087372	165	
I57564	AWW40(2)	220302	ASU2	3746166	165	
I57565	AWW41(2)	220302	ASU4	6140370	165	
I57566	AWW42(2)	220302	ASU3	4953580	165	
I57567	AWW43(2)	220302	ASU7	18584002	165	
I57568	AWW44(2)	220302	ASU8	8687452	165	
I57569	AWW45(2)	220302	ASU9	5157581	165	
I57570	AWW46(2)	220302	ASU10	1758604	165	
I57571	AWW47(2)	220302	ASU11	6162678	165	
I57572	AWW48(2)	220308	ASU1	14423984	165	
I57573	AWW49(2)	220308	ASU5	4251287	165	
I57574	AWW50(2)	220308	ASU6	5157085	165	
I57575	AWW51(2)	220308	ASU2	6187208	165	
I57576	AWW52(2)	220308	ASU4	7377082	165	
I57577	AWW53(2)	220308	ASU3	4711395	165	
I57578	AWW54(2)	220308	ASU7	2466751	165	
I57579	AWW55(2)	220308	ASU8	7045502	165	
I57580	AWW56(2)	220308	ASU9	3758260	165	
I57581	AWW57(2)	220308	ASU10	7250809	165	
I57582	AWW58(2)	220308	ASU11	3248744	165	
I57583	AWW59(2)	220308	ASU12	140396	165	
I57584	AWW60(2)	220316	ASU1	3941569	165	
I57585	AWW61(2)	220316	ASU5	5703750	165	
I57586	AWW62(2)	220316	ASU6	2933668	165	
I59460	AWW63(2)	220316	ASU2	5494598	171	
I59461	AWW64(2)	220316	ASU4	2947290	171	
I59462	AWW65(2)	220316	ASU3	6443104	171	
I59463	AWW66(2)	220316	ASU7	9701082	171	
I59464	AWW67(2)	220316	ASU8	6525318	171	
I59465	AWW68(2)	220316	ASU9	4217355	171	
I59466	AWW69(2)	220316	ASU10	4701560	171	
I59467	AWW70(2)	220316	ASU11	411743	171	
I59468	AWW71(2)	220316	ASU12	1574946	171	
I59469	AWW72(2)	220323	ASU1	8189903	171	
I59470	AWW73(2)	220323	ASU5	8168796	171	
I59471	AWW74(2)	220323	ASU6	5974761	171	
I59472	AWW75(2)	220323	ASU2	8488778	171	
I59473	AWW76(2)	220323	ASU4	6481843	171	
I59474	AWW77(2)	220323	ASU3	512635	171	
I59475	AWW78(2)	220323	ASU7	1898294	171	
I59476	AWW79(2)	220323	ASU8	2828879	171	
I59477	AWW80(2)	220323	ASU9	5757226	171	
I59478	AWW81(2)	220323	ASU10	6199496	171	
I59479	AWW82(2)	220323	ASU11	5989822	171	
I59480	AWW83(2)	220323	ASU12	3189317	171	
I59481	AWW84(2)	220330	ASU1	12434367	171	
I59482	AWW85(2)	220330	ASU5	1349004	171	
I59483	AWW86(2)	220330	ASU6	4047162	171	
I59484	AWW87(2)	220330	ASU2	3356272	171	
I59485	AWW88(2)	220330	ASU4	838368	171	
I59486	AWW89(2)	220330	ASU3	5916045	171	
I59487	AWW90(2)	220330	ASU7	7752174	171	
I59488	AWW91(2)	220330	ASU8	3164610	171	
I59489	AWW92(2)	220330	ASU9	3070811	171	
I59490	AWW93(2)	220330	ASU10	7201530	171	
I59491	AWW94(2)	220330	ASU11	2996894	171	
I59492	AWW95(2)	220330	ASU12	632234	171	
I59493	AWW96(2)	220330	ASU13	16852	171	
I59494	AWW97(2)	220330	ASU14	905875	171	
I60316	AWW102(2)	220404	ASU4	11867259	174	
I60317	AWW103(2)	220404	ASU3	11238597	174	
I60318	AWW104(2)	220404	ASU7	9557852	174	
I60319	AWW105(2)	220404	ASU8	16645460	174	
I60320	AWW106(2)	220404	ASU9	5101056	174	
I60321	AWW107(2)	220404	ASU10	19262532	174	
I60322	AWW108(2)	220404	ASU11	16776259	174	
I60324	AWW109(2)	220404	ASU12	3639678	174	
I60325	AWW110(2)	220404	ASU15	1729218	174	
I62247	AWW111(2)	220411	ASU1	6618307	180	
I62248	AWW112(2)	220411	ASU5	8371969	180	
I62249	AWW113(2)	220411	ASU6	9144529	180	
I62250	AWW114(2)	220411	ASU2	10209532	180	
I62251	AWW115(2)	220411	ASU4	7936936	180	
I62252	AWW116(2)	220411	ASU3	9665718	180	
I62253	AWW117(2)	220411	ASU7	11077520	180	
I62254	AWW118(2)	220411	ASU8	4120563	180	
I62255	AWW119(2)	220411	ASU9	7154580	180	
I62256	AWW120(2)	220411	ASU10	10915386	180	
I62257	AWW121(2)	220411	ASU11	1868861	180	
I62258	AWW122(2)	220411	ASU12	2217207	180	
I62259	AWW123(2)	220411	ASU15	904854	180	
I62260	AWW124(2)	220411	ASU14	4149912	180	
I62261	AWW125(2)	220411	ASU16	7670180	180	
I64183	AWW126(2)	220418	ASU1	4277380	186	
I64185	AWW128(2)	220418	ASU6	1359356	186	
I64186	AWW129(2)	220418	ASU2	8701899	186	
I64187	AWW130(2)	220418	ASU4	9294281	186	
I64188	AWW131(2)	220418	ASU3	3933251	186	
I64189	AWW132(2)	220418	ASU7	6587585	186	
I64190	AWW133(2)	220418	ASU8	13499307	186	
I64191	AWW134(2)	220418	ASU9	2074273	186	
I64192	AWW135(2)	220418	ASU10	4970162	186	
I64193	AWW136(2)	220418	ASU11	5096951	186	
I64194	AWW137(2)	220418	ASU12	6827465	186	
I64195	AWW138(2)	220418	ASU15	7852258	186	
