COVIDSeq_Seq_ID,External_ID,Date,Site,BQ.1.1,XBB.1.5,BQ.1,XBB,BA.5,BN.1,BF.7,BA.2.75,BA.5.2.6,BF.11,BA.4.6,BA.2,BA.2.75.2,BA.4,BA.1.1,B.1.1.529,BA.2.12.1,Delta,Other_recombinants,Other,Filtered_reads
I99106,AWMW2,230209,ASUW02,0,0.8333332,0,0.16666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E-07
I98891,AWMT408,230206,ASUT04,0,0.79926008,0,0,0,0,0,0,0,0,0,0.19930952,0,0,0,0,0,0,0,0,0.0014304
I98895,AWMT412,230206,ASUT09,0,0.99956785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043215
I98922,AWMT439,230220,ASUT02,0,0.98571401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138868,0.00039919
I98908,AWMT425,230213,ASUT03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I98926,AWMT443,230220,ASUT08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I98918,AWMT435,230213,ASUT17,0.167418,0.0272994,0.03850614,0.04855122,0.2427561,0.04687704,0.0418545,0.11384424,0,0.01004508,0,0.1590471,0.01506762,0.00167418,0,0.00334836,0.01004508,0,0.06027048,0.01339344,2.02E-06
I98921,AWMT438,230220,ASUT06,0,0.37333352,0,0.2666668,0.00166666,0.03833318,0,0.10166626,0,0,0,0.13999944,0.00999996,0,0,0,0,0,0.06166654,0.00666664,1.00E-06
I98925,AWMT442,230220,ASUT07,0,0.99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-08
I98892,AWMT409,230206,ASUT03,0,0.8043508,0,0.19453665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111255
I99105,AWMW1,230209,ASUW01,0,0,0,0,0.38980262,0.0436366,0.07200039,0.14181895,0.02618196,0.01090915,0,0.2400013,0.01090915,0,0,0,0.01333046,0,0.03927294,0.00872732,0.00340916
I99101,AWMT448,230220,ASUT15,0,0.9993933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006067
I98896,AWMT413,230206,ASUT10,0,0.99955188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044812
I98898,AWMT415,230206,ASUT12,0,0.98882686,0,0.0111732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.00E-08
I98916,AWMT433,230213,ASUT14,0,0.99979601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020399
I98901,AWMT418,230206,ASUT16,0,0,0,0,0.73684212,0,0.19298246,0,0,0,0,0.00877193,0,0,0,0,0,0,0.04385965,0.01754386,-2.00E-08
I98905,AWMT422,230213,ASUT06,0,0,0,0,0,0.2258831,0,0.63247268,0,0,0,0.02258831,0.09299525,0,0,0,0,0,0.02606053,0,1.30E-07
I98912,AWMT429,230213,ASUT10,0,0.56369699,0,0.43590712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039589
I98902,AWMT419,230206,ASUT17,0.20535665,0,0.03749991,0.00178571,0.17678529,0.0535713,0,0.13928538,0,0,0.01249997,0.24464227,0.01607139,0.03214278,0,0.00357142,0.01071426,0,0.0535713,0.01249997,2.40E-06
I98915,AWMT432,230213,ASUT15,0,0.47377746,0,0.52622253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-08
I98911,AWMT428,230213,ASUT09,0,0.99947575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052425
I98906,AWMT423,230213,ASUT02,0,0.04244032,0,0.09814324,0,0.07161804,0,0.19363396,0,0,0.01856764,0.36339524,0.02387268,0.04509284,0,0.00530504,0.01856764,0,0.09814324,0.02122016,-4.00E-08
I98928,AWMT445,230220,ASUT10,0,0.99983818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016182
I99108,AWMW4,230216,ASUW01,0,0,0,0.91548061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08322551,0,0.00129388
I98888,AWMT405,230206,ASUT01,0,0.089697,0,0.179394,0,0.1913536,0,0.3946668,0,0,0,0,0.0478384,0,0,0,0,0,0.0777374,0.0193131,-3.00E-07
I98907,AWMT424,230213,ASUT04,0,0.99982364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017636
I98910,AWMT427,230213,ASUT08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I98914,AWMT431,230213,ASUT12,0,0.994819,0,0.0048325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003485
I98903,AWMT420,230213,ASUT01,0,0.99999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-08
I99109,AWMD1,230209,ASUDT01,0,0,0,0,0,0,0,0,0,0,0,0.99877942,0,0,0,0,0,0,0,0,0.00122058
I98889,AWMT406,230206,ASUT05,0,0.99999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-08
I98899,AWMT416,230206,ASUT15,0,0.4994463,0,0.46614988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03329642,0,0.0011074
I98913,AWMT430,230213,ASUT11,0,0.3179442,0,0.6585987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227103,0,0.0007468
I98904,AWMT421,230213,ASUT05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155763,0,0.99844083,1.54E-06
I98900,AWMT417,230206,ASUT14,0,0.99857043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142957
I98917,AWMT434,230213,ASUT16,0,0.994737,0,0.00455059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071241
