Date,Adenovirus,Bocavirus,Coronavirus,Enterovirus,Metapneumovirus,Parainfluenza,Parechovirus,RSV,Rhinovirus,Rubulavirus,Influenza,Polyomavirus,SARS-CoV-2
1/30/23,2783,340,1154,9158,6947,5241,9709,2839,2559,9342,4819,6941,4006
2/6/23,6932,9439,2271,5468,7840,4391,4196,2647,4998,8478,7549,1702,5861
2/13/23,4395,9144,9548,8439,2311,9827,5193,1541,2450,5279,3436,4211,9023
2/20/23,6457,34,9168,6613,9546,7049,1961,4789,2521,12,2876,9035,8202
2/27/23,5387,8396,7125,1473,8925,114,8989,167,6665,7390,6633,3951,7303
3/6/23,7455,1469,2316,5507,3877,3549,7892,1047,7312,7733,4732,7144,4399
3/13/23,6853,5398,7596,1277,4952,3457,2627,8113,4023,4105,2979,536,8416
3/20/23,7051,3533,5112,8069,4329,6702,7666,2642,3288,2432,6836,6419,9364
3/27/23,5621,6216,6964,2995,3027,3271,3061,9827,8583,377,5644,9546,1620
4/3/23,9698,1057,3924,8369,9280,8636,8267,4840,1625,7066,7489,8472,9728
