Respiratory_Seq_ID,External_ID,Date,Site,Adenovirus,Bocavirus,Coronavirus,Enterovirus,Metapneumovirus,Parainfluenza,Parechovirus,RSV,Rhinovirus,Rubulavirus,Influenza,Polyomavirus,SARS-CoV-2
I47876,AWW5(2),220126,ASUT01,8421,3929,2509,6331,714,8799,3736,3759,9573,7385,3240,7878,236
I47877,AWW6(2),220126,ASUT02,706,8180,8993,3033,852,5942,7715,3960,1592,597,5697,3086,5489
I57540,AWW16(2),220210,ASUT04,5220,7794,4,5964,8613,2005,2346,9154,1897,8858,2613,6823,1705
I57541,AWW17(2),220210,ASUT03,6801,6211,1970,3276,1817,3653,8916,9942,7978,6833,949,7333,869
I57542,AWW18(2),220216,ASUT01,3772,9274,4993,4692,5705,6499,1404,1205,2048,5302,3890,5375,2202
I57543,AWW19(2),220216,ASUT02,8302,9039,9449,9541,5982,4121,2646,2871,9256,9115,1874,3041,5621
I57544,AWW20(2),220216,ASUT03,9390,1916,8281,4802,6288,3224,2732,3693,7260,3615,7874,9901,4245
I57545,AWW21(2),220216,ASUT04,7452,4072,9421,5369,6005,3900,4902,373,7790,2441,8376,5334,7885
I57546,AWW22(2),220216,ASUT05,7554,5340,8294,1378,2674,5793,8691,5160,4030,3452,9872,9016,6534
I57547,AWW23(2),220216,ASUT06,7639,2911,2948,5137,4273,3857,5507,4330,7365,3689,9224,5855,4703
I57548,AWW24(2),220216,ASUT07,8146,4226,7578,5048,4889,7665,8484,8201,6563,8507,3688,5547,4408
I57549,AWW25(2),220216,ASUT08,8328,9797,7442,404,3357,7451,8436,8024,2509,7561,8309,2841,96
I57550,AWW26(2),220216,ASUT09,1785,2983,2101,3770,6792,3701,9500,9318,4905,2246,334,5265,1178
I57551,AWW27(2),220222,ASUT01,1018,2193,2293,1334,9185,2655,443,3290,4968,9809,6226,1452,7721
I57552,AWW28(2),220222,ASUT05,9746,8177,8946,1529,1326,9796,3160,8941,8118,5501,6002,7401,2082
I57553,AWW29(2),220222,ASUT06,7891,42,5180,6889,4903,6754,5661,2047,5616,6985,9435,9321,6405
I57554,AWW30(2),220222,ASUT02,6776,1387,6351,5751,5205,9588,3128,7185,6547,915,3476,8051,8326
I57555,AWW31(2),220222,ASUT04,5452,409,6687,642,456,1448,7204,689,2934,3117,1352,2781,6514
I57556,AWW32(2),220222,ASUT03,2281,1280,4769,2093,2689,6059,5523,8568,3806,4247,4167,6714,2627
I57557,AWW33(2),220222,ASUT07,3639,6105,855,5480,1591,2164,6695,3851,1744,8543,8605,9673,6957
I57558,AWW34(2),220222,ASUT08,366,4714,5733,2305,9135,608,1616,7177,5797,6101,1870,1249,9760
I57559,AWW35(2),220222,ASUT09,7576,1691,450,3713,5180,918,6392,9793,6434,256,2919,2162,5349
I57560,AWW36(2),220222,ASUT10,2250,2021,2818,7857,7472,5901,1919,5653,603,78,112,3684,9654
I57561,AWW37(2),220302,ASUT01,8322,5384,9611,9572,8691,3403,2961,8464,5849,827,3331,4814,2678
I57562,AWW38(2),220302,ASUT05,1540,9015,9538,6602,5690,9090,6345,2812,654,1527,5552,9104,9892
I57563,AWW39(2),220302,ASUT06,5121,8738,6733,181,1213,2952,2614,7024,1990,7583,8778,8756,6917
I57564,AWW40(2),220302,ASUT02,6050,6250,696,1169,4505,5083,5037,8481,4463,8282,3354,6320,6753
I57565,AWW41(2),220302,ASUT04,6999,9563,3988,7344,5835,3362,1927,3831,8478,8768,6324,390,1806
I57566,AWW42(2),220302,ASUT03,6651,9842,5805,4037,3444,2932,9812,7639,2052,3256,8028,6928,362
I57567,AWW43(2),220302,ASUT07,9310,4836,1131,1764,260,9517,993,2177,3493,8933,7120,9982,9198
I57568,AWW44(2),220302,ASUT08,1536,2448,5696,1959,7055,771,250,8510,1724,9995,3697,4488,6063
I57569,AWW45(2),220302,ASUT09,8023,1982,9323,2154,9201,2036,52,3036,3073,3597,1979,1621,8126
I57570,AWW46(2),220302,ASUT10,6366,547,479,4560,1740,4817,9430,2995,8880,7466,9232,1559,9928
I57571,AWW47(2),220302,ASUT11,3340,7592,462,5243,5959,6208,2749,8097,4358,8601,6734,4906,178
I57572,AWW48(2),220308,ASUT01,1698,6532,6745,7130,8668,7645,7878,7029,4499,5619,1840,5951,6849
I57573,AWW49(2),220308,ASUT05,9230,187,7929,7891,6961,6602,8350,6436,1557,4453,6921,9914,3627
I57574,AWW50(2),220308,ASUT06,4535,6621,2810,4428,5858,2288,5891,754,8910,6535,8341,9380,4729
I57575,AWW51(2),220308,ASUT02,2995,5670,1907,2316,7745,3609,5257,6291,6273,8420,3147,2936,8699
I57576,AWW52(2),220308,ASUT04,3099,6230,5502,5275,4225,6704,2857,6260,3032,1653,4806,444,3595
I57578,AWW54(2),220308,ASUT07,9694,9529,9894,356,4152,4247,3130,497,667,7379,3220,3138,76
I57579,AWW55(2),220308,ASUT08,6727,3628,9766,5266,6122,5624,778,7717,5856,1545,3811,6598,3635
I57580,AWW56(2),220308,ASUT09,2547,2818,8161,9469,4427,8633,7923,2695,6187,2012,4967,1220,2897
I57581,AWW57(2),220308,ASUT10,9172,8880,1155,4109,7146,1918,9620,8749,5097,8003,3560,7024,8730
I57582,AWW58(2),220308,ASUT11,8308,4678,7197,9752,8736,8621,4164,3819,4801,1038,6120,2542,2762
I57584,AWW60(2),220316,ASUT01,7393,2930,1184,531,8182,2521,5423,6220,8229,9688,8100,8309,9288
I57585,AWW61(2),220316,ASUT05,7622,2827,7395,1486,5548,669,6664,7973,4442,9432,8005,4598,6826
I57586,AWW62(2),220316,ASUT06,3376,902,893,3757,2455,8813,3494,6624,2330,5293,2509,271,5910
I59460,AWW63(2),220316,ASUT02,4628,7569,7927,211,3805,4083,2367,5136,9251,4529,2327,4708,3978
I59461,AWW64(2),220316,ASUT04,2164,8275,9064,7329,1495,9152,7546,4831,3913,2359,1523,6175,704
I59462,AWW65(2),220316,ASUT03,3710,2804,3749,4402,9992,7709,4591,8614,713,7664,5518,2839,6413
I59463,AWW66(2),220316,ASUT07,2093,5307,9807,9523,2415,4842,6960,5457,9549,5123,9881,2703,8043
I59464,AWW67(2),220316,ASUT08,4580,3509,9805,2453,9379,3399,730,9220,5956,3140,4144,3132,8286
I59465,AWW68(2),220316,ASUT09,8875,6779,3347,1107,7264,2571,6582,2610,185,1669,2136,9158,6520
I59466,AWW69(2),220316,ASUT10,4969,5874,8989,7955,7528,7168,4628,6409,4097,1507,3102,9307,5316
I59468,AWW71(2),220316,ASUT12,8150,6922,4588,1742,2651,6538,1969,4065,6829,3306,4275,5420,9098
I59469,AWW72(2),220323,ASUT01,3084,8413,7302,5406,1034,6396,4646,6874,3613,9205,8150,7843,2099
I59470,AWW73(2),220323,ASUT05,4524,1500,1853,1756,7576,3530,4247,5027,5502,1008,9709,8308,1422
I59471,AWW74(2),220323,ASUT06,662,8794,6595,6506,7272,1057,9600,9967,7969,7819,5324,83,5908
I59472,AWW75(2),220323,ASUT02,5464,8240,8068,8248,8333,9281,6182,7024,6309,2625,9467,6054,4400
I59473,AWW76(2),220323,ASUT04,5328,4064,4510,5892,2764,4542,2744,9863,5927,3353,6218,8121,7815
I59474,AWW77(2),220323,ASUT03,8807,3285,9435,6926,6064,8044,6162,9939,7239,7370,5422,6608,8030
I59475,AWW78(2),220323,ASUT07,2425,5453,2029,1028,7002,2350,6294,409,9624,1345,9392,1421,468
I59476,AWW79(2),220323,ASUT08,9991,3317,8488,6126,3664,9767,8472,9967,8873,2836,652,58,3394
I59478,AWW81(2),220323,ASUT10,5040,6228,286,6989,3122,6006,8253,5039,8693,6075,6452,658,6149
I59479,AWW82(2),220323,ASUT11,6214,3351,2633,6718,2972,3029,6803,6428,2533,1110,3705,1761,2878
I59480,AWW83(2),220323,ASUT12,347,93,7839,5587,4253,2332,7071,2673,8588,1849,4201,6526,5655
I59481,AWW84(2),220330,ASUT01,7772,8991,2913,4696,1837,8768,7624,2151,7710,5878,6703,547,3351
I59482,AWW85(2),220330,ASUT05,8324,7440,6062,2063,616,6719,8530,9683,7739,7008,165,5139,62
I59483,AWW86(2),220330,ASUT06,5346,7086,6463,7598,3798,9822,5002,3355,1236,6151,8259,8789,2267
I59484,AWW87(2),220330,ASUT02,793,5487,7993,7504,9315,4808,8928,664,3848,2909,6092,7186,2511
I59486,AWW89(2),220330,ASUT03,1770,2844,3592,7267,9497,4790,3091,8149,7717,6756,7584,2117,3435
I59487,AWW90(2),220330,ASUT07,216,2548,8278,6027,3361,4081,7848,8566,1831,6169,2709,1777,7850
I59488,AWW91(2),220330,ASUT08,4813,4992,9951,2477,1115,9811,156,3382,3548,5012,5253,5462,6857
I59489,AWW92(2),220330,ASUT09,2338,8376,2628,5368,6933,6211,9285,1457,3452,8970,6074,6733,4740
I59490,AWW93(2),220330,ASUT10,6725,9345,5920,4553,1572,2391,1630,7352,1602,576,2607,9752,3727
I59491,AWW94(2),220330,ASUT11,9906,5856,4903,2604,2787,5463,3265,8718,8830,3118,8496,9718,6662
I59492,AWW95(2),220330,ASUT12,7362,9735,1781,4347,4113,6995,638,2377,4922,3102,8486,1787,1999
I59493,AWW96(2),220330,ASUT13,7691,1223,4885,7557,1164,6424,1858,6091,7582,6232,2062,4228,5429
I59494,AWW97(2),220330,ASUT14,681,2923,7293,4253,6083,8044,9762,5965,5085,4626,7670,8181,8609
I60316,AWW102(2),220404,ASUT04,9245,3405,453,8562,2867,7696,4817,1543,5970,1753,5537,6938,8114
I60317,AWW103(2),220404,ASUT03,8499,2314,5833,8443,4001,3740,3230,8324,1874,4699,1751,4016,8008
I60318,AWW104(2),220404,ASUT07,188,6665,7606,3908,8987,7933,8545,5901,3112,5709,1097,8114,3386
I60319,AWW105(2),220404,ASUT08,4361,8555,1405,7,3352,8471,5967,9677,7853,5038,9171,8911,1073
I60320,AWW106(2),220404,ASUT09,2245,8511,1597,1258,85,615,7813,7788,9813,750,7945,5284,6027
I60321,AWW107(2),220404,ASUT10,4541,2452,9960,547,9083,7704,5587,556,4957,1413,1300,284,2354
I60322,AWW108(2),220404,ASUT11,7876,3808,9869,240,7637,2591,2126,6047,1641,5514,7804,5779,6214
I60324,AWW109(2),220404,ASUT12,1527,995,2248,1131,2769,9428,955,4441,8183,6656,4104,4874,6497
I60325,AWW110(2),220404,ASUT15,8777,865,9297,5790,7839,6629,1288,5813,4992,6430,3112,9813,4672
I62247,AWW111(2),220411,ASUT01,836,80,5159,7197,1815,8714,9689,9358,3716,4832,6178,5137,3318
I62248,AWW112(2),220411,ASUT05,8976,6188,9427,2447,7792,1977,6072,4279,1747,7495,8001,1897,2411
I62249,AWW113(2),220411,ASUT06,6077,5323,60,9559,3294,2754,6291,7249,2335,5402,6843,1520,6468
I62250,AWW114(2),220411,ASUT02,9338,2019,3427,7875,1590,3615,6742,6647,7262,2873,4492,1070,8202
I62251,AWW115(2),220411,ASUT04,7646,6813,2124,2714,4977,9552,589,2528,8545,2426,9893,3802,1235
I62252,AWW116(2),220411,ASUT03,6824,1738,7588,2197,3360,7466,9063,3291,2418,6216,570,3533,5299
I62253,AWW117(2),220411,ASUT07,9436,7828,3858,1290,9519,2251,5669,9999,1264,4473,5555,5254,2902
I62254,AWW118(2),220411,ASUT08,6758,7720,148,5493,940,8316,8536,1712,3602,5707,6833,6466,7025
I62255,AWW119(2),220411,ASUT09,1983,8994,255,2965,3153,7553,6315,7791,7153,8967,6500,8356,1500
I62256,AWW120(2),220411,ASUT10,1967,131,5340,1522,9692,3045,2510,7756,8018,2711,112,5010,2804
I62257,AWW121(2),220411,ASUT11,2959,1017,9700,9949,5746,3639,1939,9683,4603,243,1107,5552,7385
I62258,AWW122(2),220411,ASUT12,6812,4704,1616,5973,7546,1060,8651,7900,7957,3475,6693,2544,5907
I62259,AWW123(2),220411,ASUT15,1012,9669,1736,1388,7105,5057,135,1570,872,3348,4385,9262,5620
I62260,AWW124(2),220411,ASUT14,4763,982,1395,8747,3808,2863,7216,1409,5434,5493,2414,3081,9424
I62261,AWW125(2),220411,ASUT16,7638,2378,1254,2563,1440,1911,656,5079,7633,2777,592,2460,8769
I64183,AWW126(2),220418,ASUT01,3015,9136,6933,4506,9770,441,251,940,5380,1368,9633,1276,3023
I64185,AWW128(2),220418,ASUT06,160,6863,4886,6202,2838,4507,9391,5067,9006,2270,7648,966,8408
I64186,AWW129(2),220418,ASUT02,3397,4640,6172,6667,8761,1218,8945,7881,2513,8164,2224,8230,6860
I64187,AWW130(2),220418,ASUT04,9286,7985,9131,4282,877,3058,5231,9823,2853,7758,3215,1099,5227
I64188,AWW131(2),220418,ASUT03,5701,3110,4901,881,7011,6064,3144,2266,2542,577,3437,999,8784
I64189,AWW132(2),220418,ASUT07,2559,6325,7600,4641,2053,6074,4609,4435,4659,4714,5242,9266,9180
I64190,AWW133(2),220418,ASUT08,2346,7019,7631,7319,1783,3605,8183,7673,4494,1912,7220,5007,5071
I64191,AWW134(2),220418,ASUT09,353,2603,5083,2340,7895,509,3250,4392,3296,9766,2595,5489,2119
I64192,AWW135(2),220418,ASUT10,7899,9040,7751,8762,138,3541,91,906,324,9703,9289,6650,5574
I64193,AWW136(2),220418,ASUT11,4366,2247,4716,8354,3046,7227,6608,1003,9473,2609,6514,7969,1037
I64194,AWW137(2),220418,ASUT12,656,3587,3879,4430,7054,5676,2828,5840,9049,9250,7381,5490,2799
I64195,AWW138(2),220418,ASUT15,6344,8789,4527,4451,2197,6262,1758,7473,4207,8545,3519,8714,6549
I64196,AWW139(2),220418,ASUT16,5017,5187,9718,4950,854,79,8945,3209,9262,7813,3824,9144,3862
I66310,AWW140(2),220425,ASUT01,1396,8956,257,7773,7667,7885,1251,5904,5345,8143,6877,2988,920
I66311,AWW141(2),220425,ASUT05,8060,6132,3736,5581,8854,3880,4676,348,8415,589,1482,9193,5308
I66312,AWW142(2),220425,ASUT06,4815,1413,7830,2007,2756,4584,4294,3597,6366,6215,6412,1165,6282
I66313,AWW143(2),220425,ASUT02,9547,3974,8528,4852,8761,3572,2205,8468,5828,7326,9479,7609,8179
I66314,AWW144(2),220425,ASUT04,9320,6158,3503,7461,9156,855,478,4717,8328,3048,6364,1964,3554
I66315,AWW145(2),220425,ASUT03,2193,5740,7167,7029,9928,8121,1650,8191,1534,114,8420,3233,919
I66316,AWW146(2),220425,ASUT07,7394,4706,539,6162,1051,6227,8419,9232,3140,4199,8632,8679,7573
I66317,AWW147(2),220425,ASUT08,9486,2691,7721,612,2772,904,4433,3913,9366,7830,9647,360,4684
I66318,AWW148(2),220425,ASUT09,2470,9405,7549,9712,5976,8278,7865,9514,8439,8816,9321,5319,8745
I66319,AWW149(2),220425,ASUT10,6530,9874,7652,4675,6448,6812,2583,1674,7697,1294,1726,7012,8215
I66320,AWW150(2),220425,ASUT11,1482,5001,8328,9972,8165,6797,424,7130,8618,8313,4067,6352,2475
I66321,AWW151(2),220425,ASUT12,6687,9126,192,6277,4668,3904,6585,5058,3836,8555,5384,3356,1546
I66322,AWW152(2),220425,ASUT15,7458,4245,1522,8301,2814,994,6197,5908,9947,1394,5089,2334,7809
I66323,AWW153(2),220425,ASUT16,4502,8443,6715,9582,562,97,2988,9182,6308,6227,6045,4718,9470
I68629,AWW154(2),220503,ASUT01,4540,5601,132,4016,2982,8438,6901,8475,1511,7003,9367,4909,5069
I68630,AWW155(2),220503,ASUT05,5882,2755,9388,9883,6912,7760,6010,4360,8876,829,4751,8055,2199
I68631,AWW156(2),220503,ASUT06,513,8552,1471,8444,6146,953,9677,8839,3983,6411,2705,2492,2074
I68632,AWW157(2),220503,ASUT02,5336,1341,3403,4136,6435,6163,9335,7576,5337,6292,2744,6757,8161
I68633,AWW158(2),220503,ASUT04,7918,5324,2921,2771,9286,7043,2168,830,815,380,454,4479,9713
I68634,AWW159(2),220503,ASUT03,3343,8545,8394,8584,6415,2284,5718,5751,7586,6538,5416,3165,4201
I68635,AWW160(2),220503,ASUT07,3483,5375,716,9250,3431,1592,2622,2042,3237,5027,3396,8353,7871
I68636,AWW161(2),220503,ASUT08,6142,4455,6611,1983,5807,28,585,6944,8923,2769,297,2529,6311
I68637,AWW162(2),220503,ASUT09,8566,883,5149,2858,9179,2552,6701,1661,6971,4115,490,723,8595
I68638,AWW163(2),220503,ASUT10,8603,4586,2706,29,8497,4648,9504,756,2544,9470,4412,2305,5331
I68639,AWW164(2),220503,ASUT11,3380,2320,2629,7877,7286,5979,4564,5493,3287,3847,1600,6343,845
I68640,AWW165(2),220503,ASUT12,393,624,9275,8275,1730,1517,478,1853,8904,65,5916,4236,200
I68641,AWW166(2),220503,ASUT15,212,7875,5936,7614,4728,5049,5832,7821,7486,7717,7465,1194,2328
I68642,AWW167(2),220503,ASUT16,9888,7121,1623,522,1199,8445,2566,5985,2700,9522,426,3920,8727
