Date,Adenovirus,Bocavirus,Coronavirus,Enterovirus,Metapneumovirus,Parainfluenza,Parechovirus,RSV,Rhinovirus,Rubulavirus,Influenza,Polyomavirus,SARS-CoV-2
1/26/22,764,9544,9667,6962,8379,6057,8394,6062,6895,2411,5898,5516,5911
2/10/22,9175,8704,5477,5259,5568,7989,233,6154,5965,9767,7867,3642,3392
2/16/22,7591,3511,3375,321,1437,9697,2784,1044,8924,4443,6485,3216,196
2/22/22,3233,89,227,7192,8314,5265,4262,9565,4419,1879,7526,416,4443
3/2/22,3687,3598,5876,7674,3925,3746,8035,5509,343,9298,5851,6520,3652
3/8/22,525,9511,9265,1199,4179,9253,1650,3410,4651,7342,2657,3774,7466
3/16/22,9132,5766,1658,6777,4442,5164,3368,7468,9764,6017,9381,2989,9341
3/23/22,4404,482,9367,1709,1435,7127,4391,3797,5139,2455,9651,2672,8866
3/30/22,4026,788,7594,9342,2871,3032,2640,8657,9932,2000,7752,5214,1950
4/4/22,3788,9005,923,3351,8525,3395,8759,4048,6850,9289,2160,3049,5466
4/11/22,2539,5120,2692,4189,928,1487,6707,3594,4045,8649,6615,6248,5188
4/18/22,32,9347,1133,5253,3205,1417,2354,9941,9424,6482,9860,2867,3595
4/25/22,6324,6886,3764,3938,8737,995,1589,9603,8092,7236,4853,3854,5908
5/3/22,6916,3023,6858,1652,8583,4790,4393,4495,2113,1182,7752,2538,7435
5/9/22,197,9960,5432,7588,5596,2937,7999,7907,2385,634,5517,2428,9711
5/16/22,797,408,2562,9651,2421,6775,4001,5671,7001,6543,3362,8754,3946
5/23/22,8717,4606,6938,7256,553,1712,5011,5347,3319,783,915,9717,6227
5/31/22,7905,6764,3629,1430,1920,8395,1133,2653,596,1730,128,6485,9657
6/6/22,9118,2286,3108,6944,4983,9956,2283,5698,4633,767,5259,1371,5424
6/13/22,7874,1061,871,3863,2476,1231,122,562,7679,1711,7181,6415,280
6/20/22,3323,8607,6667,7165,9351,9448,598,7558,3648,8752,4458,4528,1454
6/27/22,8346,8103,4716,7433,7158,7228,9364,2985,6487,1039,92,7486,4831
7/5/22,1959,6481,873,9734,6184,2535,2825,9107,1748,7523,91,9926,8574
